"levelId","chapter","totalCardCount","categoryCount","itemCardCount","imageCardCount","columnHeights","fifthColumnCount","drawBatchCount","parMoves","threeStarMoves","twoStarMoves","solverSolved","solverMoves","solverNodes","solverBacktracks","solverBranchingStates","solverDealDecisionStates","solverForcedMoves","maxActiveCategories","contentReviewChecked","ambiguityNotes","layoutSignature"
"","1","54","9","45","0","2/3/4/5/6","6","7","61","66","76","true","61","386","324","162","77","53","5","true","","9#I0.5,C0.5,I1.5|I0.5,I0.5,I0.5,I2.5,I3.5,I3.5|I3.5,C3.5|I4.5,I4.5,I2.5,C5.5|I4.5,I4.5,I6.5,I7.5,I1.5#I2.5,I6.5,C2.5,I7.5,I8.5|I1.5,C7.5,I5.5,I5.5,I5.5|I6.5,I5.5,C1.5,I3.5,I5.5|I1.5,I2.5,I7.5,I8.5,I6.5|C6.5,C8.5,I3.5,I8.5,I8.5|I8.5,I1.5,I2.5,I7.5,I7.5|I6.5,_,I4.5,C4.5,I0.5"
"","1","54","9","45","9","2/3/4/5/6","6","7","61","66","76","true","61","132","70","77","27","18","5","true","","9#I0.5,C1.5,I2.5,C2.5|I3.5,I2.5|I3.5,I4.5,I5.5,I4.5,I4.5|I4.5,I3.5,I5.5,I5.5,I6.5,C7.5|I5.5,I8.5,I2.5#I1.5,I3.5,I6.5,I6.5,I7.5|C4.5,C6.5,I7.5,I0.5,I1.5|I2.5,I5.5,I6.5,I8.5,C8.5|I8.5,I3.5,I2.5,I4.5,I0.5|I8.5,I7.5,I8.5,C5.5,I6.5|I1.5,I1.5,I7.5,I7.5,I1.5|C0.5,C3.5,I0.5,_,I0.5"
"","1","54","9","45","9","2/3/4/5/6","6","7","61","66","76","true","61","292","230","126","91","66","5","true","","9#C0.5,I1.5,C1.5|C2.5,I0.5,I3.5,I1.5,C4.5|I0.5,I1.5,I1.5,I4.5,I1.5,C5.5|I5.5,C3.5|I5.5,I2.5,I5.5,I0.5#I5.5,I4.5,I3.5,I0.5,I3.5|I6.5,I4.5,I2.5,I6.5,I2.5|I4.5,I0.5,I2.5,I2.5,I4.5|I3.5,I5.5,I3.5,I6.5,C6.5|I6.5,I6.5,I7.5,C7.5,C8.5|I7.5,I8.5,I8.5,I7.5,I8.5|I7.5,I8.5,_,I8.5,I7.5"
"","1","54","9","45","9","2/3/4/5/6","6","7","61","66","76","true","61","470","408","201","58","80","5","true","","9#I0.5,I0.5,I1.5,I2.5,C0.5|I1.5,I0.5,I1.5,I3.5,I4.5,I5.5|I1.5,I1.5|I2.5,I6.5,I6.5,C7.5|I7.5,I5.5,C5.5#C6.5,I8.5,I0.5,I5.5,I5.5|I4.5,I8.5,I4.5,C1.5,I6.5|I3.5,I2.5,C4.5,I2.5,I6.5|I8.5,C8.5,C3.5,I3.5,I6.5|I5.5,I7.5,I7.5,I3.5,I0.5|I4.5,C2.5,I2.5,I4.5,I7.5|I3.5,_,I8.5,I7.5,I8.5"
"","1","54","9","45","9","2/3/4/5/6","6","7","61","66","76","true","61","244","182","112","45","21","5","true","","9#I0.5,C1.5|I1.5,I2.5,I0.5,I3.5,I4.5|I2.5,I2.5,I1.5|I2.5,I2.5,I5.5,I1.5|I5.5,I5.5,I4.5,I6.5,I4.5,C4.5#I4.5,I6.5,I4.5,C6.5,C7.5|I0.5,I8.5,I5.5,I1.5,I5.5|C3.5,C8.5,I8.5,C0.5,I8.5|I3.5,I6.5,I7.5,I3.5,I7.5|I6.5,I6.5,C2.5,I3.5,I7.5|I8.5,C5.5,I1.5,I0.5,I3.5|I7.5,I8.5,I0.5,I7.5,_"
"","1","54","9","45","0","2/3/4/5/6","6","7","61","66","76","true","61","103","41","63","30","18","5","true","","9#I0.5,C1.5,C2.5|I3.5,I1.5|I3.5,I4.5,I5.5,I3.5,I6.5|I4.5,I7.5,I3.5,I7.5|I7.5,I4.5,I3.5,I7.5,C4.5,I2.5#I7.5,I8.5,I8.5,I4.5,I5.5|I8.5,I0.5,I1.5,I4.5,C7.5|I0.5,I6.5,I6.5,I5.5,I2.5|I2.5,I8.5,C6.5,I6.5,I2.5|I2.5,C8.5,C0.5,I0.5,I0.5|C5.5,I1.5,I1.5,I1.5,I5.5|I6.5,C3.5,I8.5,I5.5,_"
"","1","54","9","45","9","2/3/4/5/6","6","7","61","66","76","true","61","182","120","85","27","37","5","true","","9#I0.5,C0.5|I0.5,C1.5,C2.5|I1.5,I3.5,I4.5,I4.5,C4.5|I5.5,I3.5,I5.5,I6.5,I1.5,I6.5|I5.5,I5.5,I5.5,I1.5#I7.5,I7.5,I6.5,I1.5,I3.5|I2.5,I2.5,C5.5,I3.5,I1.5|I3.5,I0.5,I4.5,C8.5,I6.5|C7.5,I2.5,I8.5,I0.5,I7.5|I6.5,I8.5,I8.5,I7.5,I7.5|I4.5,I0.5,C6.5,I4.5,C3.5|I2.5,I8.5,I8.5,_,I2.5"
"","1","54","9","45","9","2/3/4/5/6","6","7","61","66","76","true","61","12218","12156","3697","248","76","5","true","","9#C0.5,C1.5,C2.5|I3.5,C3.5|I3.5,I2.5,I2.5,C4.5,I3.5|I5.5,I1.5,I1.5,I1.5|I6.5,I4.5,I6.5,I5.5,I6.5,I1.5#I3.5,I4.5,I0.5,I4.5,I0.5|I7.5,I0.5,I8.5,I7.5,I2.5|I2.5,C5.5,C8.5,I0.5,I3.5|I8.5,I7.5,I8.5,I2.5,I8.5|I7.5,C7.5,I7.5,I8.5,C6.5|I5.5,I4.5,I5.5,I6.5,I4.5|I1.5,I0.5,I6.5,I5.5,_"
"","1","54","9","45","9","2/3/4/5/6","6","7","61","66","76","true","61","378","316","148","76","98","5","true","","9#C0.5,C1.5|C2.5,I0.5,I0.5|C3.5,I1.5,C4.5,I0.5|I2.5,I5.5,I0.5,I5.5,I4.5,C5.5|I5.5,I0.5,I5.5,I1.5,I5.5#C6.5,I4.5,I4.5,I4.5,I3.5|I3.5,I3.5,I4.5,I3.5,I2.5|I2.5,I3.5,I1.5,I1.5,I1.5|I2.5,I6.5,I6.5,C7.5,I6.5|I8.5,I8.5,I8.5,I7.5,I7.5|I7.5,I8.5,I8.5,I6.5,I7.5|C8.5,I7.5,I2.5,_,I6.5"
"","1","54","9","45","9","2/3/4/5/6","6","7","61","66","76","true","61","2004","1942","696","91","48","5","true","","9#I0.5,C0.5|I1.5,I1.5,I2.5,I3.5,I4.5|I5.5,I1.5,I5.5,C5.5,C6.5,I0.5|I5.5,I3.5,I7.5|I7.5,I4.5,I6.5,I0.5#I4.5,I4.5,I6.5,I0.5,C4.5|C2.5,I7.5,I3.5,C7.5,C3.5|I0.5,I3.5,I7.5,I6.5,I7.5|C1.5,I3.5,I4.5,C8.5,I6.5|I8.5,I8.5,I2.5,I8.5,I2.5|I6.5,I8.5,I8.5,I5.5,I2.5|I2.5,I1.5,_,I1.5,I5.5"
"","1","54","9","45","0","2/3/4/5/6","6","7","61","66","76","true","61","97","35","55","28","26","5","true","","9#I0.5,C0.5,C1.5|I2.5,I1.5|I3.5,I2.5,I4.5,I5.5,I2.5,I6.5|I7.5,I7.5,I8.5,I1.5|I8.5,I7.5,I8.5,I7.5,I8.5#I1.5,C4.5,I1.5,I1.5,I8.5|I4.5,C6.5,I4.5,I0.5,I5.5|C7.5,I2.5,I5.5,I2.5,I7.5|I3.5,C3.5,I0.5,C8.5,I6.5|I6.5,I5.5,C5.5,I3.5,I4.5|I3.5,I0.5,C2.5,I0.5,I6.5|I4.5,I5.5,_,I3.5,I6.5"
"","1","54","9","45","9","2/3/4/5/6","6","7","61","66","76","true","61","152","90","81","44","34","5","true","","9#I0.5,C1.5,C2.5|I1.5,I1.5,I3.5,I3.5|I3.5,I1.5,I1.5,I4.5,I0.5|I5.5,I6.5,I5.5,C5.5,I2.5,C4.5|I7.5,I8.5#I5.5,C6.5,I0.5,I4.5,I6.5|I7.5,I6.5,I1.5,I5.5,I6.5|I2.5,I2.5,C7.5,I8.5,I6.5|I2.5,I4.5,I8.5,I7.5,I8.5|C3.5,I3.5,I4.5,I7.5,I0.5|I2.5,I7.5,I5.5,I4.5,C0.5|I0.5,I8.5,C8.5,_,I3.5"
"","1","54","9","45","9","2/3/4/5/6","6","7","61","66","76","true","61","112","50","71","52","16","5","true","","9#I0.5,I0.5,I1.5,C2.5|I3.5,I3.5,I2.5|I4.5,I3.5|I4.5,I5.5,I4.5,I5.5,I2.5|I6.5,I7.5,I6.5,I6.5,I7.5,I1.5#I8.5,C3.5,I2.5,I8.5,C1.5|I5.5,C5.5,I2.5,I1.5,I2.5|C4.5,C0.5,I7.5,I8.5,I4.5|C8.5,I6.5,I8.5,I8.5,I1.5|I3.5,I4.5,C7.5,I7.5,C6.5|I5.5,I5.5,I1.5,I7.5,I3.5|I6.5,I0.5,I0.5,I0.5,_"
"","1","54","9","45","9","2/3/4/5/6","6","7","61","66","76","true","61","91","29","62","53","17","5","true","","9#I0.5,I1.5,C0.5|I2.5,I0.5,I1.5,I3.5,I3.5,C4.5|I5.5,I4.5|I5.5,I6.5,I7.5,I7.5|I7.5,I8.5,C8.5,I0.5,I4.5#C3.5,C5.5,I1.5,I2.5,I2.5|I4.5,I1.5,C2.5,I1.5,I5.5|I4.5,I4.5,I3.5,C1.5,I0.5|I8.5,C6.5,I6.5,I8.5,I3.5|I2.5,I5.5,I3.5,I0.5,I8.5|C7.5,I8.5,I7.5,I6.5,I5.5|I6.5,_,I7.5,I2.5,I6.5"
"","1","54","9","45","9","2/3/4/5/6","6","7","61","66","76","true","61","1272","1210","506","119","134","5","true","","9#C0.5,I1.5,I2.5|I0.5,I3.5|I3.5,I4.5,I3.5,I5.5|I6.5,I0.5,I0.5,I4.5,C5.5,C2.5|I6.5,I0.5,I1.5,I2.5,C1.5#I7.5,C7.5,I0.5,I2.5,I1.5|I7.5,I3.5,I7.5,I5.5,C6.5|I2.5,I7.5,I8.5,I2.5,I7.5|I6.5,I6.5,C4.5,C3.5,I5.5|I8.5,I4.5,C8.5,I5.5,I4.5|I8.5,I1.5,I8.5,I8.5,I1.5|I5.5,I4.5,I3.5,_,I6.5"
"","1","54","9","45","0","2/3/4/5/6","6","7","61","66","76","true","61","303","241","131","50","52","5","true","","9#C0.5,I1.5,I1.5,I2.5,I2.5,C1.5|I0.5,I2.5,C3.5|I4.5,C5.5|I5.5,I6.5,I5.5,I5.5,I5.5|I6.5,I6.5,I3.5,I3.5#I3.5,I0.5,I6.5,I6.5,I0.5|I7.5,I4.5,I0.5,I5.5,I3.5|I8.5,I2.5,I2.5,I1.5,C6.5|I8.5,C4.5,I4.5,I1.5,I0.5|I7.5,I7.5,I8.5,I1.5,C2.5|C8.5,C7.5,I8.5,I3.5,I4.5|_,I7.5,I8.5,I4.5,I7.5"
"","1","54","9","45","9","2/3/4/5/6","6","7","61","66","76","true","61","1266","1204","500","113","133","5","true","","9#C0.5,I1.5,C2.5,I3.5,I3.5|C4.5,I0.5,I5.5|I0.5,I5.5,I6.5,C3.5|I4.5,I4.5|I7.5,C7.5,I5.5,I8.5,I6.5,I6.5#I3.5,C5.5,I3.5,I4.5,I3.5|C6.5,I6.5,I8.5,C1.5,C8.5|I2.5,I2.5,I1.5,I1.5,I6.5|I5.5,I1.5,I1.5,I0.5,I5.5|I7.5,I7.5,I8.5,I8.5,I2.5|I2.5,I2.5,I4.5,I7.5,I7.5|I0.5,I8.5,I0.5,I4.5,_"
"","1","54","9","45","9","2/3/4/5/6","6","7","61","66","76","true","61","266","204","117","22","28","5","true","","9#I0.5,I0.5,I0.5,I1.5,I0.5,C2.5|I0.5,I3.5,I1.5,C4.5|I3.5,I5.5,I3.5,I2.5,I6.5|I5.5,I3.5,C6.5|I7.5,I7.5#I7.5,I3.5,C5.5,I4.5,I8.5|I7.5,C0.5,C1.5,I4.5,I2.5|I4.5,I7.5,I6.5,I2.5,I5.5|I1.5,I8.5,I8.5,I1.5,I1.5|I2.5,I8.5,C3.5,I6.5,I8.5|I6.5,I4.5,C8.5,I2.5,C7.5|_,I6.5,I5.5,I5.5,I4.5"
"","1","54","9","45","9","2/3/4/5/6","6","7","61","66","76","true","61","97","35","56","26","26","5","true","","9#C0.5,C1.5,I2.5,C2.5|I0.5,I0.5|I0.5,I3.5,I4.5|I4.5,I5.5,I6.5,I4.5,I4.5,I2.5|I7.5,I7.5,I0.5,I5.5,I7.5#I2.5,I7.5,C8.5,I3.5,I0.5|I8.5,I7.5,C5.5,C6.5,I3.5|I6.5,I6.5,I2.5,C3.5,C7.5|I1.5,I5.5,I8.5,I8.5,C4.5|I3.5,I2.5,I8.5,I1.5,I1.5|I3.5,I1.5,I6.5,I5.5,I4.5|I5.5,I8.5,I6.5,_,I1.5"
"","1","54","9","45","9","2/3/4/5/6","6","7","61","66","76","true","61","487","425","212","56","53","5","true","","9#I0.5,I0.5,I1.5,I0.5|I0.5,I2.5,C2.5|I3.5,I1.5,I0.5,I4.5,I5.5,I6.5|I3.5,I1.5,I5.5,I6.5,I2.5|I3.5,I3.5#I2.5,I5.5,C6.5,I5.5,I4.5|I2.5,C7.5,I2.5,I8.5,I3.5|I7.5,I5.5,I7.5,C5.5,C3.5|I4.5,I6.5,C4.5,I1.5,I7.5|C0.5,I7.5,I8.5,C1.5,I8.5|I4.5,I4.5,I6.5,I7.5,I8.5|I6.5,I1.5,_,C8.5,I8.5"
"","2","54","9","45","0","2/3/4/5/6","6","7","61","65","75","true","61","210","148","108","57","25","5","true","","9#I0.5,C1.5|I2.5,I0.5,I3.5,C4.5|I2.5,I3.5,C5.5|I4.5,I1.5,I5.5,C0.5,C6.5,I1.5|I7.5,I2.5,I0.5,C7.5,I4.5#I4.5,I5.5,I6.5,I4.5,I4.5|I5.5,C2.5,I6.5,I6.5,I1.5|I1.5,I3.5,I0.5,I5.5,I6.5|I8.5,C8.5,C3.5,I5.5,I8.5|I8.5,I3.5,I6.5,I1.5,I8.5|I7.5,I2.5,I8.5,I0.5,I3.5|I7.5,I7.5,I2.5,_,I7.5"
"","2","54","9","45","9","2/3/4/5/6","6","7","61","65","75","true","61","390","328","168","59","32","5","true","","9#C0.5,I1.5,C1.5|I2.5,C2.5,I1.5,I3.5,C4.5|I2.5,I0.5,I1.5,I5.5,I1.5,C5.5|I5.5,C3.5|I5.5,I0.5,I5.5,I5.5#I2.5,I3.5,I0.5,I4.5,I1.5|I6.5,I7.5,I2.5,I4.5,C8.5|I7.5,C7.5,I4.5,I0.5,I4.5|I7.5,I0.5,I3.5,I2.5,I4.5|I8.5,I3.5,I7.5,C6.5,I6.5|I3.5,I6.5,I6.5,I7.5,I6.5|I8.5,I8.5,_,I8.5,I8.5"
"","2","54","9","45","9","2/3/4/5/6","6","7","61","65","75","true","61","531","469","186","183","14","5","true","","9#C0.5,I1.5,I2.5|I0.5,I3.5,I1.5,I4.5,I3.5|I3.5,I4.5,I5.5,I4.5|I5.5,I6.5,I2.5,I2.5,I2.5,C2.5|I7.5,I2.5#I4.5,I5.5,I1.5,I7.5,I6.5|I6.5,I4.5,C6.5,C5.5,C1.5|I1.5,I6.5,I6.5,C7.5,C4.5|I1.5,C3.5,I3.5,I7.5,I7.5|I7.5,I0.5,I0.5,C8.5,I3.5|I0.5,I5.5,I0.5,I8.5,I5.5|I8.5,I8.5,I8.5,_,I8.5"
"","2","54","9","45","9","2/3/4/5/6","6","7","61","65","75","true","61","308","246","139","57","25","5","true","","9#I0.5,C1.5,I2.5|I3.5,I1.5,I4.5,C0.5|I5.5,I4.5,I6.5,I0.5,C7.5,C2.5|I5.5,I5.5|I8.5,I5.5,I8.5,I8.5,I6.5#C3.5,I0.5,I3.5,I1.5,I7.5|I2.5,I2.5,I3.5,I7.5,I0.5|I3.5,I1.5,I7.5,I1.5,I7.5|I2.5,I4.5,I4.5,I2.5,I0.5|I7.5,C5.5,I3.5,I1.5,C8.5|I6.5,C6.5,I4.5,I6.5,C4.5|I8.5,I8.5,_,I5.5,I6.5"
"","2","54","9","45","9","2/3/4/5/6","6","7","61","65","75","true","61","194","132","97","46","34","5","true","","9#C0.5,I1.5,I1.5,C1.5|I2.5,I3.5,C3.5|I2.5,I4.5|I5.5,I2.5,I3.5,C6.5,I3.5,I1.5|I7.5,I4.5,I0.5,I7.5,I1.5#C5.5,I4.5,I1.5,C4.5,C7.5|I7.5,I7.5,C2.5,I0.5,I4.5|I7.5,I4.5,I5.5,I2.5,I0.5|I3.5,I5.5,I5.5,C8.5,I5.5|I0.5,I2.5,I6.5,I0.5,I8.5|I8.5,I8.5,I3.5,I8.5,I6.5|I6.5,I6.5,I6.5,_,I8.5"
